codigo_barras,nome_produto,descricao
7896569400268,LEITE UHT DESNATADO LIDER TP CAIXA 12 X 1000ML,LEITE DESNAT LIDER 1LT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE INTEGRAL SHEFA GFA 1L
7896569400220,LEITE UHT DESNATADO LIDER TP 1000ML,LEITE UHT LIDER DESNATADO 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,#04012010#LEITE TIROL 1 L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE LV TIROL INT UN001TP 1L (QTDE X PRECO) -/+ DESCONTO/ACRESCIMO = 4,000 X 2,2900000"
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE INT SHEFA GFA 1L UN
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UHT SHEFA 1L INTEGRAL GF
7896569400268,LEITE UHT DESNATADO LIDER TP CAIXA 12 X 1000ML,LEITE LIDER DESNATADO CX
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA GARAFA INTEGRAL
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,TIROL LEITE INTEGRAL 1LITRO
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,TIROL LEITE LV INTEGRAL 1LT
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE UHT TIROL 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE UHT SHEFA DESN 1L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE GARRAFA SHEFA INTE
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE L.V.SHEFA 1L PET. SEMI-DESNATADO
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA SD PET 1L
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE L.V.LIDER 1L INTEG
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE LV LIDER 1000ML IN
7896569400268,LEITE UHT DESNATADO LIDER TP CAIXA 12 X 1000ML,LEITE L.V.LIDER
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,"LEITE TIROL 1 I(0,41)"
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE TIROL 1L SEMIDESNAT
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE UTH GFA.INTEGRAL S
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LIDER LEITE LONGA VIDA 1LT INTEGRAL
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SHEFA UHT INT 1L
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DESNAT GFA.1
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,"LEITE TIROL I(0,33)"
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DESN. GRF. PET 1L CX 6
7896569400268,LEITE UHT DESNATADO LIDER TP CAIXA 12 X 1000ML,L V LIDER DESNAT CX
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE%20SHEFA%201L%20SEMI%20DESN
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,SHEFA DESNATAD PET L
7896256600230,LEITE UHT SEMI DESNATADO TIROL TP 1000ML,LEITE L-VIDA TIROL 1
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEIT UHT SHEFA 1 INT
7896569400244,LEITE UHT INTEGRAL LIDER TP CAIXA 12 X 1000ML,LEITE L.V.LIDER INTEGRAL C12
7896185312402,LEITE UHT SEMI DESNATADO SHEFA GARRAFA 1000ML,LEITE LONGA VIDA SHEFA GARRAFA SEMI
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL INT. 1LT
7896256600247,LEITE UHT DESNATADO LIGHT TIROL TP 1000ML,LEITE L.V.TIROL DESNATADO 1L
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE TIROL INTEGRAL TP
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE SIG INTEGRAL SHEFA GARRAFA 1 LT
7896256600223,LEITE UHT INTEGRAL TIROL TP 1000ML,LEITE INTEG. TIROL
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE LV SHEFA GF 1L INTEGRAL
7896185312419,LEITE UHT DESNATADO SHEFA GARRAFA 1000ML,LEITE SHEFA DESNA GFA 1 L
7896185312396,LEITE UHT INTEGRAL SHEFA GARRAFA 1000ML,LEITE L.VIDA SHEFA INT.1L
